admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,name,ownership,region,state,locale_type,locale_size
0.6639,1267.0,25584.0,124857.0,107127.0,19060.0,39.679577,-75.752822,Newark,University of Delaware,public,mid east,DE,suburb,large
0.5323,,37069.0,52811.0,37011.0,730.0,39.741501,-75.689624,Wilmington,Goldey-Beacom College,private non-profit,mid east,DE,suburb,large
,,17835.0,43142.0,29853.0,8377.0,39.682299,-75.586998,New Castle,Wilmington University,private non-profit,mid east,DE,suburb,large
0.3154,1320.0,64040.0,105098.0,84200.0,7485.0,38.936005,-77.088875,Washington,American University,private non-profit,mid east,DC,city,large
0.8368,,61627.0,132473.0,114619.0,3294.0,38.933651,-76.99790899999999,Washington,The Catholic University of America,private non-profit,mid east,DC,city,large
,,22928.0,25948.0,19867.0,3656.0,38.943819,-77.066247,Washington,University of the District of Columbia,public,mid east,DC,city,large
0.5706,955.0,37188.0,36766.0,21722.0,1112.0,38.907371,-76.993675,Washington,Gallaudet University,private non-profit,mid east,DC,city,large
0.4187,1380.0,69204.0,105591.0,71358.0,12161.0,38.89923,-77.048363,Washington,George Washington University,private non-profit,mid east,DC,city,large
,,,61918.0,41515.0,562.0,38.637165,-90.258772,Saint Louis,Barnes-Jewish College Goldfarb School of Nursing,private non-profit,plains,MO,city,large
0.6920000000000001,,53021.0,68316.0,54983.0,665.0,39.046353,-94.583594,Kansas City,Kansas City Art Institute,private non-profit,plains,MO,city,large
0.75,,37890.0,,,46.0,38.584608,-90.324024,Saint Louis,Kenrick Glennon Seminary,private non-profit,plains,MO,suburb,large
,,17186.0,34657.0,24957.0,1911.0,38.564431,-92.166724,Jefferson City,Lincoln University,public,plains,MO,city,small
,,16695.0,50676.0,34882.0,3331.0,45.796896,-108.523009,Billings,Montana State University Billings,public,rocky mountains,MT,city,medium
0.704,1100.0,33935.0,46658.0,35563.0,2126.0,37.602425,-93.407056,Bolivar,Southwest Baptist University,private non-profit,plains,MO,town,medium
0.5755,1163.0,22324.0,62279.0,49407.0,600.0,37.103172,-94.510622,Joplin,Ozark Christian College,private non-profit,plains,MO,city,small
,,,55976.0,41257.0,513.0,39.051884,-94.594656,Kansas City,Saint Luke's College of Health Sciences,private non-profit,plains,MO,city,large
0.7833,1199.0,48487.0,95541.0,82088.0,1210.0,46.600771,-112.040285,Helena,Carroll College,private non-profit,rocky mountains,MT,town,small
,,,85008.0,61006.0,201.0,39.006611,-94.556762,Kansas City,Research College of Nursing,private for-profit,plains,MO,city,large
0.6612,1204.0,50180.0,95739.0,85260.0,1579.0,39.032318,-94.573003,Kansas City,Rockhurst University,private non-profit,plains,MO,city,large
0.7208,1199.0,45298.0,80936.0,69291.0,1839.0,40.839098,-96.64831,Lincoln,Nebraska Wesleyan University,private non-profit,plains,NE,city,large
0.9979,,52167.0,45101.0,28690.0,1684.0,43.176403,-71.822282,Henniker,New England College,private non-profit,new england,NH,rural,medium
0.7282000000000001,,49092.0,37912.0,27192.0,80170.0,43.038922,-71.451842,Manchester,Southern New Hampshire University,private non-profit,new england,NH,city,medium
0.7664000000000001,1223.0,56405.0,134803.0,123136.0,2016.0,42.986889,-71.50362200000001,Manchester,Saint Anselm College,private non-profit,new england,NH,suburb,medium
0.7091000000000001,1080.0,27606.0,61222.0,40178.0,16812.0,40.860414,-74.198141,Montclair,Montclair State University,public,mid east,NJ,suburb,large
0.8732000000000001,,23234.0,37711.0,35086.0,224.0,40.805705,-74.49878,Morristown,Rabbinical College of America,private non-profit,mid east,NJ,suburb,large
0.6967,1101.0,57672.0,83065.0,65207.0,3830.0,40.278796,-74.737833,Lawrenceville,Rider University,private non-profit,mid east,NJ,suburb,large
0.6664,1051.0,45961.0,57280.0,37962.0,1625.0,40.832753,-74.272571,Caldwell,Caldwell University,private non-profit,mid east,NJ,suburb,large
0.6011000000000001,1303.0,29877.0,66613.0,43359.0,35656.0,40.498769,-74.446251,New Brunswick,Rutgers University-New Brunswick,public,mid east,NJ,city,small
0.8437,1096.0,28331.0,69864.0,52591.0,8569.0,39.492036,-74.531087,Galloway,Stockton University,public,mid east,NJ,suburb,medium
,,,44411.0,34693.0,9883.0,40.220487,-74.768562,Trenton,Thomas Edison State University,public,mid east,NJ,city,small
,,22221.0,17539.0,14158.0,639.0,40.833434,-73.9458,New York,Boricua College,private non-profit,mid east,NY,city,large
0.8445,,54239.0,79328.0,65605.0,787.0,42.0961,-76.813459,Elmira,Elmira College,private non-profit,mid east,NY,city,small
0.44260000000000005,1150.0,13991.0,26849.0,19956.0,13954.0,40.631517,-73.949898,Brooklyn,CUNY Brooklyn College,public,mid east,NY,city,large
,,,31994.0,24811.0,2105.0,40.748612,-73.983822,New York,CUNY Graduate School and University Center,public,mid east,NY,city,large
0.4058,1060.0,14177.0,28315.0,19475.0,12852.0,40.770351,-73.98841,New York,CUNY John Jay College of Criminal Justice,public,mid east,NY,city,large
0.46230000000000004,,54028.0,126489.0,107457.0,5405.0,41.720937,-73.935484,Poughkeepsie,Marist College,private non-profit,mid east,NY,suburb,large
0.5717,1264.0,69775.0,132110.0,111824.0,2206.0,42.858131,-76.985516,Geneva,Hobart William Smith Colleges,private non-profit,mid east,NY,town,medium
0.632,1253.0,58126.0,93708.0,72953.0,6616.0,40.715959,-73.60078,Hempstead,Hofstra University,private non-profit,mid east,NY,suburb,large
0.5851000000000001,,31880.0,78931.0,59850.0,28965.0,39.980546,-75.156859,Philadelphia,Temple University,public,mid east,PA,city,large
0.7319,1209.0,59656.0,123602.0,99655.0,3624.0,41.406556,-75.656915,Scranton,University of Scranton,private non-profit,mid east,PA,city,small
0.5827,1163.0,56855.0,58967.0,39995.0,3495.0,39.948274,-75.158266,Philadelphia,Thomas Jefferson University,private non-profit,mid east,PA,city,large
,,28404.0,39385.0,30352.0,291.0,42.765357,-71.079335,Haverhill,Northpoint Bible College,private non-profit,new england,MA,suburb,large
0.0767,1492.0,71050.0,107609.0,82670.0,6752.0,41.82617,-71.40385,Providence,Brown University,private non-profit,new england,RI,city,medium
