name,instagram,follower_curr,follower_mean,follower_med,follower_std,follower_min,follower_max,following_curr,following_mean,following_med,following_std,following_min,following_max,posts_curr,posts_mean,posts_med,posts_std,posts_min,posts_max,admission_rate,sat_score,cost_attendance,income_avg,income_med,size,lat,lon,city,ownership,region,state,locale_type,locale_size
University of California-Los Angeles,ucla,278400.0,254695.57662337663,251000.0,13615.915192759952,232100.0,278400.0,93.0,88.13766233766233,89.0,3.343099195273336,83.0,93.0,889.0,860.578811369509,859.0,12.430776849870218,841.0,889.0,0.1404,1423.0,33654.0,54617.0,32613.0,31568.0,34.068892,-118.443901,Los Angeles,public,far west,CA,city,large
University of Florida,uflorida,186800.0,170640.11627906977,168300.0,8412.493554223434,155400.0,186800.0,468.0,492.84593023255815,494.0,7.093468909705665,468.0,501.0,1656.0,1551.9819121447028,1556.0,54.58664437864595,1452.0,1656.0,0.3875,1362.0,21034.0,58287.0,39127.0,34564.0,29.64629,-82.347911,Gainesville,public,southeast,FL,city,medium
University of North Carolina at Chapel Hill,uncchapelhill,122900.0,113228.57142857143,112500.0,5374.240671724615,103400.0,122900.0,395.0,611.2493506493506,392.0,523.4738782441817,372.0,1859.0,1959.0,1868.4079754601228,1894.0,77.5753874382611,1727.0,1959.0,0.22710000000000002,1398.0,25527.0,81233.0,58193.0,18946.0,35.911769,-79.050969,Chapel Hill,public,southeast,NC,city,small
University of Northern Colorado,unc_colorado,13900.0,13019.942196531792,13000.0,597.6582292313182,11800.0,13900.0,248.0,224.13294797687863,225.0,18.99915210869842,179.0,249.0,1303.0,1221.1965317919075,1215.5,45.96453061756629,1143.0,1303.0,0.9075000000000001,1099.0,22886.0,67385.0,51738.0,8903.0,40.410855,-104.692777,Greeley,public,rocky mountains,CO,city,medium
University of Michigan-Ann Arbor,uofmichigan,285100.0,267742.61757105944,267700.0,11066.693052471363,243700.0,285100.0,163.0,192.84496124031008,205.0,21.083272946111936,160.0,210.0,3634.0,3433.167958656331,3432.0,115.76367389423383,3238.0,3634.0,0.2283,1434.0,29407.0,93277.0,65045.0,30079.0,42.275921,-83.742769,Ann Arbor,public,great lakes,MI,city,medium
University of Pennsylvania,uofpenn,201000.0,172180.56265984656,169900.0,18175.229147232145,139800.0,201000.0,228.0,216.80818414322252,217.0,6.445951583933484,208.0,228.0,5357.0,5155.705882352941,5174.0,147.47200670019038,4871.0,5357.0,0.08410000000000001,1492.0,72584.0,71672.0,39832.0,10764.0,39.950929,-75.19391,Philadelphia,private non-profit,mid east,PA,city,large
University of Washington-Seattle Campus,uofwa,143000.0,129340.0,133000.0,9778.508583905985,112600.0,143000.0,197.0,184.96666666666667,187.0,6.14460791390473,176.0,197.0,1466.0,1347.8208333333334,1380.0,91.6635948832344,1195.0,1466.0,0.4869,1347.0,25275.0,60177.0,39205.0,30905.0,47.65538,-122.30514,Seattle,public,far west,WA,city,large
University of Rochester,urochester,22800.0,20840.282685512368,21100.0,1289.9513122171065,18400.0,22800.0,365.0,251.6643109540636,224.0,53.21577612098017,206.0,365.0,2193.0,2082.5901060070673,2101.0,67.83554509516023,1961.0,2193.0,0.2942,1422.0,70108.0,83523.0,62874.0,6348.0,43.126397,-77.631202,Rochester,private non-profit,mid east,NY,city,medium
University of Southern California,uscedu,118900.0,102798.97435897436,99950.0,8851.97312757268,89000.0,118900.0,506.0,631.3435897435897,475.0,304.62648526409464,406.0,1184.0,1219.0,1163.2412587412587,1169.0,54.49636566497543,1066.0,1272.0,0.1296,1445.0,72097.0,80335.0,45149.0,19548.0,34.021281,-118.284169,Los Angeles,private non-profit,far west,CA,city,large
The University of Texas at Austin,utaustintx,144100.0,127940.40697674418,125550.0,10325.169273847063,110300.0,144100.0,167.0,167.02325581395348,167.0,1.2752567379863204,163.0,168.0,1136.0,1109.5261627906978,1111.5,17.228507507825014,1069.0,1136.0,0.38520000000000004,1367.0,25228.0,75674.0,53018.0,40329.0,30.282825,-97.738273,Austin,public,southwest,TX,city,large
University of Virginia-Main Campus,uva,109100.0,100183.18318318318,100100.0,5387.330582086104,90500.0,109100.0,209.0,207.4204204204204,209.0,3.0710174235072922,203.0,210.0,1951.0,1857.915915915916,1872.0,64.71144583320816,1736.0,1951.0,0.26430000000000003,1427.0,32213.0,100900.0,75580.0,16405.0,38.035665,-78.503428,Charlottesville,public,southeast,VA,suburb,small
University of Wisconsin-Madison,uwmadison,146600.0,137869.9274611399,137600.0,5341.307813481714,127700.0,146600.0,1246.0,1191.9093264248704,1202.0,38.77861997721587,1128.0,1249.0,2367.0,2222.3316062176164,2225.5,91.16933801041618,2065.0,2367.0,0.5173,1365.0,25497.0,106025.0,92428.0,30360.0,43.075409,-89.404098,Madison,public,great lakes,WI,city,large
Vanderbilt University,vanderbiltu,72100.0,63866.09195402299,62800.0,4376.733048285916,56100.0,72100.0,232.0,227.88793103448276,231.0,5.9823538085214345,203.0,233.0,2646.0,2423.155172413793,2429.5,148.760078201582,2139.0,2646.0,0.0961,1514.0,67392.0,91752.0,58118.0,6840.0,36.14659,-86.803369,Nashville,private non-profit,southeast,TN,city,large
Wellesley College,wellesleycollege,21400.0,20060.49822064057,20300.0,948.366133051076,18200.0,21400.0,881.0,846.1174377224199,862.0,31.76673487848346,770.0,881.0,1504.0,1407.4128113879003,1438.0,78.16119136299136,1262.0,1504.0,0.19540000000000002,1435.0,69034.0,85633.0,59989.0,2392.0,42.291554,-71.306605,Wellesley,private non-profit,new england,MA,suburb,large
Wake Forest University,wfuniversity,44000.0,39861.53846153846,39700.0,2205.370330677384,35600.0,44000.0,1271.0,6672.066666666667,6740.0,923.9993799543132,1271.0,7505.0,2865.0,2695.9333333333334,2696.0,98.29409032055365,2525.0,2865.0,0.294,,69090.0,129394.0,94263.0,5225.0,36.133609,-80.277446,Winston-Salem,private non-profit,southeast,NC,city,medium
,williamscollege,17000.0,15070.90909090909,14900.0,925.7235090195751,13400.0,17000.0,611.0,762.2285714285714,563.0,362.366771083821,470.0,1374.0,1454.0,1384.0035587188613,1396.0,45.337346495910964,1297.0,1454.0,,,,,,,,,,,,,,
Washington University in St Louis,wustl_official,34100.0,29139.992307692308,28500.0,2455.6409238698516,25200.0,34100.0,685.0,627.974358974359,632.0,46.74037419535941,545.0,685.0,787.0,703.9,697.0,49.260367483680525,625.0,787.0,0.15030000000000002,1506.0,71975.0,119063.0,88696.0,7356.0,38.647929,-90.310604,Saint Louis,private non-profit,plains,MO,suburb,large
Yale University,yale,490700.0,445869.5501730104,460900.0,38742.023912166,369300.0,490700.0,249.0,244.26989619377161,244.0,1.7249678910918784,242.0,249.0,2710.0,2628.3356401384085,2664.0,74.0011365084126,2492.0,2710.0,0.0635,1517.0,71290.0,80258.0,44004.0,5963.0,41.311158,-72.926688,New Haven,private non-profit,new england,CT,city,medium
