2020-03-27 12:00:27.714120,87.2k,295,1638
2020-03-28 12:00:27.054533,87.2k,295,1638
2020-03-29 12:00:33.331475,87.2k,295,1638
2020-03-30 12:00:30.593127,87.3k,295,1638
2020-03-31 12:00:31.347999,87.2k,295,1639
2020-04-01 12:00:35.905796,87.3k,295,1639
2020-04-02 12:00:37.126819,87.3k,295,1639
2020-04-03 12:00:41.020853,87.4k,295,1639
2020-04-04 12:02:28.437612,87.5k,295,1639
2020-04-05 12:00:31.595765,87.5k,295,1639
2020-04-06 12:00:32.756334,87.5k,295,1639
2020-04-07 12:00:35.428120,87.6k,295,1639
2020-04-08 12:00:37.707192,87.7k,295,1640
2020-04-09 12:00:34.447195,88k,295,1640
2020-04-10 12:00:33.558692,88.1k,295,1641
2020-04-11 12:00:30.846123,88.1k,295,1641
2020-04-12 12:00:30.028258,88.1k,295,1641
2020-04-13 12:00:31.258588,88.2k,295,1641
2020-04-14 12:00:34.533450,88.2k,295,1642
2020-04-15 12:00:33.446945,88.3k,295,1642
2020-04-16 12:00:37.162571,88.4k,295,1643
2020-04-17 12:00:28.922205,88.4k,294,1643
2020-04-18 12:00:29.948234,88.5k,295,1643
2020-04-19 12:00:31.038323,88.6k,295,1644
2020-04-20 12:00:34.688238,88.6k,295,1644
2020-04-21 12:00:32.497709,88.7k,295,1644
2020-04-23 12:00:30.418449,88.9k,295,1644
2020-04-24 12:00:34.209843,88.9k,295,1644
2020-04-26 12:00:27.991751,89k,295,1645
2020-04-27 12:00:29.506456,89k,295,1645
2020-04-28 12:00:29.582458,89.1k,295,1645
2020-04-29 12:00:59.294773,89.1k,295,1645
2020-04-30 12:00:41.955234,89.1k,295,1645
2020-05-01 12:00:43.818327,89.2k,295,1645
2020-05-02 12:00:26.469035,89.3k,295,1645
2020-05-03 12:00:28.412318,89.3k,295,1645
2020-05-04 12:00:32.641950,89.3k,295,1645
2020-05-05 12:00:29.627332,89.4k,295,1645
2020-05-06 12:00:46.927188,89.4k,295,1645
2020-05-07 12:00:26.072482,89.4k,295,1646
2020-05-08 12:00:29.533838,89.4k,295,1646
2020-05-09 12:00:43.308857,89.5k,295,1646
2020-05-10 12:00:29.238471,89.5k,295,1646
2020-05-11 12:00:34.709712,89.5k,295,1646
2020-05-12 12:00:31.790459,89.5k,295,1646
